States,Year,Sub_group,CPA_Cases_Registered,CPA_Cases_Reported_for_Dept_Action,CPA_Complaints/Cases_Declared_False/Unsubstantiated,CPA_Complaints_Received/Alleged,CPA_No_of_Departmental_Enquiries,CPA_No_of_Magisterial_Enquiries,CPA_Cases_Sent_for_Trials/Charge_sheeted,CPA_No_of_Judicial_Enquiries,CPB_Police_Personnel_Acquitted,CPB_Police_Personnel_Convicted,CPB_Police_Personnel_sent_up_for_Trial,CPB_Police_Personnel_Trial_Completed,CPB_Police_Personnel_Cases_Withdrawn_or_Otherwise_disposed_of,CPC_Police_personnel_Cases_Trial_Completed,CPC_Police_Personnel_Cases_Withdrawn_or_Otherwise_disposed_of,CPC_Police_Personnel_Disciplinary_Action_Initiated,CPC_Police_Personnel_Dismissal/Removal_from_Service,CPC_Police_Personnel_Major_Punishment_awarded,CPC_Police_Personnel_Minor_Punishment_awarded,Total_no_of_cases
Tamil Nadu,2008,Complaints Against Police Personnel,124,72,10,139,67,28,75,44,3,0,75,3,10,1228,24,1510,19,279,930,4640
Tamil Nadu,2009,Complaints Against Police Personnel,111,53,12,141,63,25,69,49,3,1,64,4,2,520,342,1694,36,499,660,4348
Tamil Nadu,2010,Complaints Against Police Personnel,107,67,15,366,282,62,80,45,18,0,81,18,6,550,295,1620,32,457,642,4743
Tripura,2001,Complaints Against Police Personnel,13,1,2,15,15,0,6,2,1,0,9,1,0,95,40,186,1,21,131,539
Tripura,2002,Complaints Against Police Personnel,11,2,3,11,11,0,0,3,0,0,0,0,0,25,14,82,16,20,39,237
Tripura,2003,Complaints Against Police Personnel,1,0,0,1,1,0,0,0,0,0,0,0,0,26,1,38,0,27,1,96
Tripura,2004,Complaints Against Police Personnel,3,0,0,0,0,0,0,0,0,0,0,0,0,6,5,31,0,34,270,349
Tripura,2005,Complaints Against Police Personnel,10,56,1,62,57,1,6,4,1,0,9,1,1,246,18,294,7,22,268,1064
Tripura,2006,Complaints Against Police Personnel,17,33,1,58,46,2,9,14,1,1,12,2,12,11,28,86,12,28,502,875
Tripura,2007,Complaints Against Police Personnel,23,26,4,62,51,0,10,13,2,2,12,4,28,14,42,96,15,20,237,661
Tripura,2008,Complaints Against Police Personnel,23,20,1,52,40,1,18,17,3,0,19,3,10,27,27,89,14,33,84,481
Tripura,2009,Complaints Against Police Personnel,5,13,2,17,14,0,3,6,0,4,13,4,9,20,24,93,16,7,117,367
Tripura,2010,Complaints Against Police Personnel,28,7,5,34,9,0,16,21,1,0,20,1,2,9,37,90,13,17,18,328
Uttar Pradesh,2001,Complaints Against Police Personnel,1233,1115,4547,5858,1273,30,118,8,4,0,145,4,9,955,253,1208,28,265,662,17715
Uttar Pradesh,2002,Complaints Against Police Personnel,1978,1942,4576,6576,1978,20,36,2,9,0,36,9,27,1406,536,1942,37,197,1172,22479
Uttar Pradesh,2003,Complaints Against Police Personnel,1227,1198,3959,5239,1268,11,29,1,3,0,29,3,26,771,427,1198,41,253,477,16160
Uttar Pradesh,2004,Complaints Against Police Personnel,667,604,3591,4935,1314,27,63,3,7,8,63,15,48,373,231,604,47,217,109,12926
Uttar Pradesh,2005,Complaints Against Police Personnel,1378,1324,3906,5284,1363,13,54,2,4,1,71,5,5,1603,184,1787,50,244,1309,18587
Uttar Pradesh,2006,Complaints Against Police Personnel,825,778,2678,3503,812,13,47,0,0,0,96,0,5,1030,59,1089,71,155,804,11965
Uttar Pradesh,2007,Complaints Against Police Personnel,1693,1560,2927,4620,1673,20,96,0,0,0,139,0,0,1669,116,1785,46,353,1270,17967
Uttar Pradesh,2008,Complaints Against Police Personnel,3008,2734,3007,6015,2998,10,92,0,2,0,126,2,2,2739,412,3151,95,671,1973,27037
Uttar Pradesh,2009,Complaints Against Police Personnel,7912,7734,3041,10953,7896,15,122,1,0,4,188,4,2,7274,727,8001,170,492,6612,61148
Uttar Pradesh,2010,Complaints Against Police Personnel,8701,8326,3418,12119,8693,8,45,0,7,0,95,7,1,8158,492,8650,171,1025,6962,66878
Uttarakhand,2001,Complaints Against Police Personnel,25,117,763,944,838,1,22,0,1,0,22,1,1,228,16,328,18,33,161,3519
Uttarakhand,2002,Complaints Against Police Personnel,32,233,184,698,604,3,29,2,7,1,29,8,2,403,38,496,9,33,361,3172
Uttarakhand,2003,Complaints Against Police Personnel,24,506,342,872,872,0,23,0,0,0,23,0,3,459,47,506,27,72,360,4136
Uttarakhand,2004,Complaints Against Police Personnel,20,595,337,932,922,5,20,5,0,0,20,0,0,378,106,595,12,19,347,4313
Uttarakhand,2005,Complaints Against Police Personnel,9,703,196,908,898,1,9,9,0,0,9,0,0,420,235,703,16,46,358,4520
Uttarakhand,2006,Complaints Against Police Personnel,8,203,756,967,959,0,3,8,0,0,3,0,0,149,4,203,10,10,129,3412
Uttarakhand,2007,Complaints Against Police Personnel,9,293,447,749,740,0,5,9,0,0,5,0,0,180,84,293,5,30,145,2994
Uttarakhand,2008,Complaints Against Police Personnel,12,23,342,377,377,0,10,0,1,3,21,4,0,343,14,397,14,123,206,2267
Uttarakhand,2009,Complaints Against Police Personnel,14,203,341,558,558,0,11,0,0,0,17,0,0,140,63,203,29,42,69,2248
Uttarakhand,2010,Complaints Against Police Personnel,15,71,596,682,682,0,7,0,0,0,7,0,0,276,59,358,9,20,247,3029
West Bengal,2001,Complaints Against Police Personnel,13,0,0,43,42,0,5,1,0,0,8,0,0,0,5,456,7,149,508,1237
West Bengal,2002,Complaints Against Police Personnel,10,6,0,47,44,2,6,1,0,0,4,0,0,22,0,163,8,57,277,647
West Bengal,2003,Complaints Against Police Personnel,98,61,1,271,270,0,17,1,1,2,21,3,0,3,0,185,31,77,79,1121
West Bengal,2004,Complaints Against Police Personnel,62,47,1,119,112,0,7,7,0,0,9,0,0,83,3,154,12,188,387,1191
West Bengal,2005,Complaints Against Police Personnel,24,21,0,44,32,0,9,13,2,0,10,2,1,0,1,41,1,1,19,221
West Bengal,2006,Complaints Against Police Personnel,27,11,0,28,19,0,7,9,2,0,10,2,3,2,2,28,1,16,2,169
West Bengal,2007,Complaints Against Police Personnel,17,9,6,22,10,0,7,6,0,1,8,1,0,29,23,56,5,40,59,299
West Bengal,2008,Complaints Against Police Personnel,37,29,6,46,31,0,11,9,2,1,12,3,0,29,23,76,5,40,127,487
West Bengal,2009,Complaints Against Police Personnel,6,27,0,270,260,0,4,4,0,0,4,0,0,61,6,459,4,103,392,1600
West Bengal,2010,Complaints Against Police Personnel,5,27,0,33,32,0,5,5,0,0,5,0,0,32,11,214,0,99,382,850
